,0
59,"“I trust it will work... I’m happy today, very happy.”
104-year-old Bea Mockford was the second @sherwood_care resident to receive the Moderna vaccine this morning. This is the second pandemic she’s lived through. Full story will be in Friday’s @ShPk_News #strathco #shpk #COVID19 https://t.co/0PjkxqLrBO"
60,Overdose is as much of an emergency as #COVID19 but there is no sense of urgency to address it. Meanwhile we are losing thousands of young men. https://t.co/oi6G7dxXTf
61,"Jolene King, 48, HCW at Phoenix Indian Medical Center in Arizona died from #COVID19. She was of Hopi &amp; Apache ancestry, and worked to ensure fair treatment for all IHS employees. Her husband also died from COVID - they leave 3 children!  h/t: @CTZebra https://t.co/JH9tb8Ul94"
62,RT @DrEricDing: 9) it’s so beastly that it would make holding the virus down and suppressing it 4x longer and harder.
63,"RT @PHED_SK: Dear
The Government, .......
#โควิท19 
#COVID19 https://t.co/NaHVRF6vlU"
64,"The NUP supporters were charged with involving in activities that can spread #COVID19, they are packed on a truck with no social distancing by the police. - Asuman Basalirwa

#NBSBarometer #UgVotes2021 #NBSPoliticom #NBSUpdates https://t.co/4495Ble5q9"
65,My views in #MaalaiMurasuTV on TN govt decision to allow 100 per cent occupancy in theatres across Tamilnadu #COVID19 #CoronaVaccine #coronavirus https://t.co/btc7u1WW70
66,"What do these people actually discuss all day because it surely can't be a viral pandemic that leaves folks with long term damage and just mutated into two seriously concerning strains. We know it isn't long term care.

#onpoli #canpoli #COVID19 
https://t.co/WYUO90OVQL"
67,"You know why them Georgians did not vote in large numbers for the republicans its because of Mitch McConnell blocking the Covid19 relief they needed...covid19 don't care about party..and some people know it.
#Georgia"
68,TRUTH!! #SAVEOURCHILDRENWORLDWIDE  #SaveTheChildren
69,We demand city government and business leaders stop attacks by violent Trump supporters. Keep calling!!! Multiple hotels have joined us already by closing down. #BlackLivesMatter #DefendDC #COVID19 #FDT https://t.co/muTk34bWX2
70,"@AFP Help yourselfs please Look what the warning tells you and everything He tells becomes true I swear to God....

Enter the link to read the statement of the last warning and I have been excused from being warned
👇

https://t.co/QIKWvcL1zT"
71,"Can we start asking politicians and people in positions like this to temporarily surrender their passports? Put them in a big steel box with an oversized padlock. Maybe dig a moat around the box, just to be extra sure. Put some alligators in there. https://t.co/cplKN72yA2"
72,"#COVID19 of late: I’m seeing much more volume, nothing horrific. Less severity. Just want to talk about home pulse oximetry devices. Monitors oxygen saturation and heart rate. Cost $20-40. Normal numbers don’t imply not positive but sat &lt; 94% or sustained HR &gt; 100 is worrisome."
73,"@1a @DrLeanaWen @angie_rasmussen Why would anyone need to take the vaccine if there's niacin??

https://t.co/Te2qo4WFuN"
74,"Quebec headed for full lockdown, including curfews, beginning Saturday: report. Premier @francoislegault is to make the announcement on Wednesday https://t.co/AAQgznNar4 via @mtlgazette #COVID19 #qcpoli"
75,RT @JordanUhl: Unbelievably stupid. https://t.co/BbN86J0tsb
76,"RT @khairul_hafidz: Stay strong to all and frontliners.

#COVID19 https://t.co/DC6c6iHrl3"
77,"RT @khairul_hafidz: Stay strong to all and frontliners.

#COVID19 https://t.co/DC6c6iHrl3"
78,"Dr. Tom Stewart, a member of Ontario's #COVID19 Science Advisory Table and CEO of two hospital networks, just got back from a vacation to the Dominican Republic. 

""I regret this non-essential travel and I'm sorry,"" he says.

@bobbyhristova has the story:
https://t.co/fCe6fZ5VWF"
79,@bmckenz44559503 Gov. Ricketts is a Christian who follows the Republican Jesus. Don't GOP bigots know or even care that #COVID19 is highly infectious and everyone must be vaccinated whether workers are undocumented or not⁉️  #StoptheSpread #Vaccines4All #HopeIsComing #Biden46 #BidenPandemicTeam https://t.co/Hul6awhF9L
80,#Palestinians say they are now trying to get #vaccines from #Israel #COVID19  https://t.co/HLfPbJvBOp
81,RT @jerichomarch20: Agree https://t.co/Vs5LxVf0N5
82,So I just found out the public gallery in the U.S. Capitol will be closed due to alleged #COVID19 concerns during the Electoral College proceedings. Outrageous.
83,"#Ontario's plan to vaccinate #LTC homes is too slow and is incomplete: https://t.co/ACmwNs1KSD

It will take 2.5 weeks to vaccinate 161/623 (25.8%) homes, housing 24K of 75K (33%) total residents.

Of the 215 homes with #COVID19 outbreaks, only 78 (36%) are in ""priority regions""."
84,Can't we do just this one thing right? #COVID19 #PPE
85,"Check out these wireless earbuds. Prices as low as $20 tap the link and get free shipping with amazon prime!!!
https://t.co/9XOOkBYHET

#lockdown  #StopTheSteaI2021  #apple #like #PS5 #XboxSeriesX  #tuesdayvibe #COVID19 #StimulusCheck #Amazon  #amazonprime #Memes #FightForTrump"
86,"This is by far the worst of the travel stories. Yes, the politicians enact the lockdowns but the Science Table members are the ones who devise them and push the politicians to implement them in the first place."
87,"Legends who started wearing masks and went into quarantine much before COVID19.
One year of JNU violence. No arrests yet. https://t.co/BdpsWgDRbB"
88,"RT @PrisonPlanet: Professor Chris Whitty: Corona restrictions to be brought back NEXT winter. After the vaccine.

Like I said, they never w…"
89,"Glenda Felix, 40s, Environmental Services with Dignity Health in Chandler, AZ, died from #COVID19.  She was well known in the hospital by her genuine compassionate heart. She leaves her husband and young daughter.  
h/t: @CTZebra https://t.co/QIohxHF1Fh"
90,"A recent FOX News Rundown featured @PresidentAANP  Dr. Sophia Thomas, who shared the importance of NP-delivered health care, #COVID19 vaccines and continued vigilance about mask wearing and social distancing. Listen now: https://t.co/fD2iZ94PQW @FoxRadio #NPsLead"
91,"COVID19 is a military operation to #SaveOurChildren from (D)eep (U)nderground (M)ilitary (B)ases and complex tunnels worldwide. Arrest high level politicians, elites, celebrities that are connected to #CrimesAgainstHumanity #CrimesAgainstChildren #PizzaGate
&lt; 10 know-45,Jr,GF"
92,"VACCINE ROLLOUT SIMPLIFIED:

📍Trump WH/HHS ships &amp; punts off rollout to states

📍States often punt off to counties / local

📍Counties/cities often punt to local hospitals and clinics

📍Local hospitals/clinics: WE’RE ALREADY OVERWHELMED HERE! 

#COVID19
https://t.co/5s5pxDKgqJ"
93,"PSA after a conversation with a non-HCW friend.

********************
There is no diet that will stop #COVID19. Eating more nuts does not substitute for mask-wearing. Just wear the @#$% mask. Please.🙏 

Also- #SocialDistancing #WashYourHands 
********************

#TrustScience"
94,"#BREAKING: Prime Minister Justin Trudeau says people who vacationed abroad during the pandemic will not be eligible for the Recovery Sickness Benefit.

#cdnpoli #COVID19"
95,1 in 5 people getting tested for #COVID19 in LA County is testing positive. Stay home as much as possible to help slow the surge and save lives. Always wear a mask and keep distance when out for essentials. https://t.co/KaLAXs3vaB
96,“What we found was that the very small blood vessels in the brain were leaking.” #COVID19 #brain  https://t.co/eli1Vh1NNB
97,"@chkanwarpal 
A request to #honorable_education_minister_Haryana we are students of #Hsbte we wants #onlineexams due to #COVID19 and upcoming unknown virus. Afterall we have not sufficient place to stay during exam.
Sir we humble request you to take #onlineexams
#shameonyouhsbte"
98,"The Philippines is expected to grant an emergency use authorization for  Pfizer #COVID19 vaccine soon, the FDA said, as nations across the world began immunizing their population to quash fresh coronavirus infections.

Read more: https://t.co/TZGVAhWfje https://t.co/0SryerN0Nq"
99,"Pick your metaphor:
5-alarm fire
DEFCON 4
Richter Scale 9.0
CAT-5 hurricane

This should be the highest possible state of public health emergency. #COVID19"
100,"Nebraska's governor says undocumented workers in meat plants are not eligible for the #COVID19 vaccine because they are ""not permitted to work in those facilities.""

Studies show:
- 66% of Nebraska meat workers are undocumented
- 69% of undocumented people are essential workers https://t.co/I6M4JIrwAA"
101,Covid/Corona vaccin transport box! https://t.co/awUEEAi0Cb
102,"RT @PHED_SK: Dear
The Government, .......
#โควิท19 
#COVID19 https://t.co/NaHVRF6vlU"
103,"RT @3PIDEMIOLOGY: @1a @DrLeanaWen @angie_rasmussen Why would anyone need to take the vaccine if there's niacin??

https://t.co/Te2qo4WFuN"
104,"Latest video from Beitbridge, Keep in mind South Africa is on Level 3 with cafew and we are being arrested for not wearing a mask. But the Government is processing people without Covid19 certificate and mask to come inside SA #CloseBeitbridgeBorder https://t.co/7RYZJvtAK9"
105,"No one is allowed to leave #Shenyang , China even if you test negative for #CCPVirus #COVID19. I guess either the virus has mutated, rendering the test results no good, or they just don’t want one single person to leave. https://t.co/eSZDtaIhu9"
106,"RT @Noahpinion: Taiwan has both

Taiwan has both

Taiwan has both

Taiwan has both https://t.co/30TUNlH48R"
107,"1/ How To Steal The 2020 Election In 6 Tweets❗️

Step 1: Use covid19 to change the rules. It's okay to stand in line at Walmart, but it's not okay to stand in line to vote. It's okay to sit shoulder to shoulder on a plane, but it's not okay to vote shoulder to shoulder in person. https://t.co/SOGcLIlY7V"
108,"With vaccine doses languishing in freezers, doctors call on governments to speed up rollout, by ⁦@kellygrant1⁩ ⁦@IvanSemeniuk⁩ via ⁦@globeandmail⁩ #Covid19 #cdnhealth #cdnpoli   https://t.co/sIPS5u5Urt"
109,"Felipe Llorente, healthcare worker at Havasu Regional Med Center in Lake Havasu City, Arizona, died from #COVID19.  He was a sweet man with a ready smile who was always willing to help 
h/t: @CTZebra https://t.co/uxsyTnDgwq"
110,"Watch Now !  Press briefing on current actions being taken, preparedness &amp; updates on #COVID19 situation in the country.  @PMOIndia @MoHFW_INDIA @ICMRDELHI #IndiaFightsCorona https://t.co/zqk9yPRjRQ"
111,"This is by far the worst of the travel stories. Yes, the politicians enact the lockdowns but the Science Table members are the ones who devise them and push the politicians to implement them in the first place."
112,RT @karthickselvaa: An important message
113,RT @cooperchip1: What a total dick🍄
114,"PREGNANT WOMEN

WHY SHOULD WE LISTEN TO MEDICAL EXPERTS WHEN THEY DON'T KNOW THE DIFFERENCE BETWEEN MEN AND WOMEN?"
115,"@pro1officialtw @pnppro1 @dpcrpublicinfo @pnpdpcr @isurppo Distributed leaflets on Covid19 awareness, Anti-Bastos Law, illegal drugs prevention and terrorism awareness to a resident of this town during foot patrolling https://t.co/w1Qz0OGDIy"
116,"WATCH: @VeraEtches dispels 2 #COVID19 myths in #Ottawa: 

1) Main cause of current spike.
2) Who is being hospitalized.

#ottnews https://t.co/RThXdudrPg"
117,"1/Outrageous to deny undocumented workers, including those in meatpacking, access to vaccines. This industry relies on foreign-born workers, including undocumented workers. According to CDC these foreign-born workers hold riskier jobs for getting COVID than US-born counterparts🧵 https://t.co/B41N6Pffxt"
118,RT @DOMPATTBEAST: Just want to see everybody’s thoughts. Will you be taking the covid 19 vaccine (give reason why) #COVID19
119,"Josephine Arnold Morante, 58, nurse to the elderly in Chandler Arizona, died of #COVID19. She loved to travel and sing - she leaves two sons and a grieving extended family in the Philippines 
h/t: @CTZebra https://t.co/lp9DrXDSDy"
120,"@Deepfryer2009 @PScoopie @jose3030 @TMZ This is not about hospitals, a man is in intensive care and this internet stain of a human wanted to use this time to mention a Corona Virus conspiracy about hospitals. 

By the way, ICUs reach maximum capacity this time of year regardless of a pandemic. Read the article again."
121,As individuals over 65 await their full #vaccine cycle. It’s still important that others in their home take extra precaution around them especially in multigenerational homes to prevent the spread of #COVID19. https://t.co/aJIuLSstfc
122,"Dr. Tom Stewart, a member of Ontario's #COVID19 Science Advisory Table and CEO of two hospital networks, just got back from a vacation to the Dominican Republic. 

""I regret this non-essential travel and I'm sorry,"" he says.

@bobbyhristova has the story:
https://t.co/fCe6fZ5VWF"
123,RT @StaceyinDetroit: Stop eating meat
124,"The Philippines is expected to grant an emergency use authorization for  Pfizer #COVID19 vaccine soon, the FDA said, as nations across the world began immunizing their population to quash fresh coronavirus infections.

Read more: https://t.co/TZGVAhWfje https://t.co/0SryerN0Nq"
125,"Armed Police Officers spotted today 5/01/2021 waving down vehicles along isheri Road ...
please retweet aggressively before they sneak back on us 🙏🏽🙏🏽🙏🏽

#EndSARS #EndSarsNow 
#COVID19 #ASUU Bella shmurda Burna Eminem Tottenham https://t.co/SnOJw7NIoe"
126,@xbabycloud let’s kiss when corona is over ✨
127,Oh My God. I knew they were doing it but to see and hear it is devastating. Murderers. #COVID19
128,"The arrests in DC are going to result in a lot of trumpers spending time in jail, losing property, and once they make it home, losing jobs. Not to mention those who will sicken and die of Covid19.

They're punishing themselves, stay home and leave them to it."
129,So I just found out the public gallery in the U.S. Capitol will be closed due to alleged #COVID19 concerns during the Electoral College proceedings. Outrageous.
130,"Covid test or DNA ??

#davido #ASUU #Eminem #Ozil #university #olamide #instablog #lockdown #COVID19"
131,Looking for something different to #COVID19 news? I often retweet the most interesting and best tweets and photos about #Thailand on these two Twitter accounts: @ThailandVoice (English language) and @RichardinThai (ภาษาไทย). Take a look to see if you’re interested in following. https://t.co/7SG0zsYipy
132,"Helen Nez, 81yo nurse and rancher from Sanders AZ, died from #COVID19. As a child she was taken from her reservation and sent to “assimilate” with a foster mother. When she returned to Arizona, she held to her Navajo culture to pass it down to her family  
h/t: @CTZebra https://t.co/vk8xu6D13n"
133,"11-year-old Joel has been trying to keep up with his studies in Jamaica, but it’s been difficult during #COVID19. His family has no internet at home and cannot afford a smartphone or laptop.

No child should miss out on their education. Governments must bridge the digital divide. https://t.co/SbRE7ur9fl"
134,To understand how bad things are in UK 1 in 900 people tested positive for #COVID19 in early September compared to 1 in 50 now #DowningStreetBriefing
135,"RT @ggreeneva: This country, y’all. This infuriating country. https://t.co/ZugSm8d34z"
136,"Covid-19 Factors Explained.

#COVID19 
#vaccine 
#CovidVaccine 
#VaccineStrategy 
#COVIDSecondWave 
Bill Gates 
President Cyril Ramaphosa https://t.co/kqbkyLWDws"
137,"@DrMadej Carrie I believe you are a good person and I believe you have a genuine desire to help people. Diplomacy is not one of my strengths so I am going to get to the point. Medicine IS the worldwide religion and the corona 💉IS the mark. 

https://t.co/5z7RLpv4sP"
138,"Nebraska's governor says undocumented workers in meat plants are not eligible for the #COVID19 vaccine because they are ""not permitted to work in those facilities.""

Studies show:
- 66% of Nebraska meat workers are undocumented
- 69% of undocumented people are essential workers https://t.co/I6M4JIrwAA"
139,"It takes enormous chutzpah to front a pro-staycation campaign, tell the public that “travel outside the province is not recommended” and then jet off to Vegas. It’s so brazen it’s almost impressive"
140,"Thousands of Trump loyalists, many refusing to wear masks, gather tightly in D.C. on the day prior to a major Pro-Trump march amid a deadly #Covid19 pandemic. 

Donald Trump is expected to speak on Jan 6 as he attempts to retain power although having lost the 2020 election. https://t.co/Gp4MikwfcR"
141,"#HappyAnniversary to you and Gry, Erik. Though the circumstances may be difficult, a blessing to be able to share this day together. Wishing you both a speedy recovery. -Sg @ErikSolheim"
142,"Due to the increase on COVID19 I’ll be blessing the first 700 people to like &amp; retweet this $300 - $3000 through CashApp, Apple Pay and paypal 💰💙"
143,Hooo yeah
144,News! the new National PGD enables the 6th dose. Thank you  our amazing pharmacy teams across the land. Without you there would be no Covid19 vaccine programme.Thank you  for guiding us in patient safety &amp; professional practice  you have made such a difference @OUHospitals 💙✨ https://t.co/CPr88uOSDr
145,"Schools are opening next week anf covid19 cases in Malaysia are increasing. Pls stay safe, don't go outside unless it's necessary. Take care everyone🥺💞"
146,"⚠️CRUSH VIRUS NOW OR ELSE WE ARE SCREWED: Denmark’s CDC thinks new B117 #SARSCoV2 variant is so much more contagious (R +0.4 to +0.7) &amp; inevitable that **if any country does not crush the R&lt;0.7 now**, we will be completely #COVID19 screwed by Feb/March.🧵
 https://t.co/CG1iZNx6uI https://t.co/W7v1iAsgw3"
147,"A cleaner working at a Brisbane quarantine hotel has tested positive for the UK strain of COVID-19.

The Chief Health Officer has ordered these immediate steps to protect vulnerable members of the community.

#covid19 https://t.co/Ji0hfQqdr5"
148,We now have the highest number (188 984) of active #Covid19SA cases (cumulative cases minus recoveries and deaths) since the onset of the pandemic. Our daily new cases have passed the 20 000 mark - there’s increasing evidence that our new #SARS-CoV-2 variant is more infectious.
149,"AN OPEN LETTER TO PM-8

* Beyond 'lockdowns', Pls form the COVID19 Task Force of 'Subject-Matter Experts' Urgently, as to Steer the nation out of this 3rd-Wave Disaster

Its Oversight role is to ensure these 10 Critical Actions implemented &amp; review-audit Health-Economics lmpact. https://t.co/yxrY2Pllzn"
150,"If you have #COVID-like symptoms such as cough, fever, sore throat, loss of taste and smell, in addition to headache, difficulty in breathing and general body weaknesses, please call 08000EKOMED=08000356633 for #COVID19 care and support.

A stitch in time saves nine!

#StaySafe https://t.co/VtUPny963F"
151,"2020 - the year of the so-called deadly plague that has stripped us of all our freedoms, destroyed our livelihoods and cast a shadow of deep despair across the country. Yet the death stats for that year are no different from any any other since 1990. 
#England #Wales #COVID19 https://t.co/lM7RnCVlmM"
